Game,Platform,Genre,Rating,Played,IGDB,Completed,Quick Review,Notes,GOTY
Chained Echoes,PC,RPG,9,1/21/2023,117271,TRUE,Great JRPG with a REALLY rough unbalanced ending and a pretty poor story end.,47 hours,
Against the Storm,PC,Builder,8,1/12/2023,147519,NA,"This is a really cool roguelike city builder. Super unique. I didn't play much on stream, but stacked up a lot of time off stream.",,
"Warhammer 40,000: Shootas, Blood & Teef",PC,Shooter,3,1/2/2023,159703,TRUE,"This really isn't a good game, but its neat seeing cartoon versions of 40k stuff.",,
Pentiment,PC,Visual Novel,7,12/29/2022,204623,TRUE,"A great first two acts, and maybe one of the longest drawn out third acts ever.",,
Orcs Must Die 3,PC,Action,7,12/22/2022,121754,TRUE,It's more orcs must die.,Full co-op playthrough,
"Warhammer 40,000: Inquisitor",PC,RPG,7,12/15/2022,11364,FALSE,"It feels janky, but it's still sort of fun.",,
Greatest Penguin Heist of All Time,PC,Stealth,5,12/15/2022,154732,FALSE,A silly game that is fun for 2-3 hours.,Full co-op playthrough,
Brotato,PC,Roguelike,8,12/14/2022,199116,TRUE,A really good vampire survior type game!,,
Dwarf Fortress,PC,Builder,7,12/14/2022,228456,TRUE,A very addiction little builder that finally got the UI it deserves.,,
"Warhammer 40,000: Darktide",PC,Shooter,6,12/14/2022,135998,TRUE,"It's what you would expect, but the environments are amazing.",Full co-op playthrough,
New World,PC,MMO,7,11/24/2022,24654,TRUE,"Fun fort PVP, fun challenging dungeons, neat open world. But lacking a lot of content to keep players interested. The end game grind for gear score sucks.",,
Frog Detective 3,PC,Mystery,7,11/2/2022,161552,TRUE,A great ending to a great series.,,
Ravenous Devils,PC,Horror,6,11/1/2022,161552,FALSE,"A neat idea, but it needs more .... meat.",,
Ghostbusters: Spirits Unleashed,PC,Shooter,6,10/31/2022,194682,NA,Balance issues but a lot of fun with friends.,,
Strange Horticulture,PC,Mystery,9,10/29/2022,186597,TRUE,What an amazing little game! Such a neat spooky story.,,
Tiny Folks,PC,Roguelike,8,10/14/2022,197266,TRUE,Simplified darkest dungeon! Super fun.,,
Arx Fatalis,PC,RPG,6,10/14/2022,602,FALSE,A neat RPG with some good humor.,,
Rogue Genesia,PC,Roguelike,7,10/7/2022,211066,TRUE,Vampire survivor-ish game. I like it quite a bit.,,
Trombone Champ,PC,Music,7,9/28/2022,149821,NA,An amazing music game with a great sense of humor. Toots were had.,,
Total War: Warhammer 3,PC,Strategy,9,9/27/2022,143114,TRUE,Immortal Empires is exactly what I wanted out of warhammer fantasy.,,Silver
Kingdoms and Castles,PC,Builder,7,9/23/2022,26651,TRUE,A fun city builder with a unique art style and ideas.,,
The Vale,PC,RPG,6,9/16/2022,165212,FALSE,A really great idea with some good voice acting.,,
Cult of the Lamb,PC,Roguelike,6,9/4/2022,165351,TRUE,"A great theme, ruined by a final boss fight and bugs.",,
Demeo,PC,Card / Board Game,8,9/1/2022,144763,FALSE,Super cool vr game with so much flavor,,
Project Lazarus,PC,Roguelike,7,8/31/2022,205275,FALSE,Neat vampire survivor like game but with mechs.,,
Multiversus,PC,Fighting,7,8/12/2022,205275,NA,Actually a ton of fun.,,
Necrosmith,PC,Roguelike,6,8/12/2022,204262,NA,A neat majesty like game. We need more games like this!,,
Boneraiser Minions,PC,Roguelike,7,8/11/2022,197011,TRUE,A fun little vampire esque game with some heart.,,
Stray,PC,Adventure,9,7/27/2022,110248,TRUE,"Wow, this is such a great game full of atmosphere and beautiful scenery.",,
Last Call BBS,PC,Puzzle,8,7/27/2022,205064,TRUE,This game is just filled with nostalgia and is amazing. Thank you Zachtronics for all the good times!,,
Toilet Chronicles,PC,Adventure,6,7/24/2022,199576,TRUE,It's good for the price and has some funny moments.,,
Children of Morta,PC,Roguelike,8,7/23/2022,36198,TRUE,"First played this in 2019 when solo, and I thought it was good. Played again in 2022 co-op and it was even better.",Full co-op playthrough,
Chimeraland,PC,MMO,7,7/20/2022,174589,NA,"What a weird, wonderful, game. An MMO with new ideas finally.",,
Outriders,PC,Shooter,6,7/17/2022,102058,TRUE,Good co-op. Buggy and a little janky.,Full co-op playthrough,
Escape Academy,PC,Puzzle,6,7/16/2022,194464,TRUE,"Neat puzzles, terrible story",Full co-op playthrough,
Sniper Elite 5,PC,Shooter,8,7/15/2022,116238,TRUE,Better than 4. Massive levels make for a great feel. Bad ending.,Full co-op playthrough,
Sniper Elite 4,PC,Shooter,8,7/7/2022,18366,TRUE,Even better than 3! They've made great improvements every game.,Full co-op playthrough,
Sniper Elite 3,PC,Shooter,7,7/4/2022,8366,TRUE,"Better than 2, but really short campaign.",Full co-op playthrough,
Sniper Elite v2: Remastered,PC,Shooter,5,7/2/2022,116191,TRUE,"Its okay, pretty janky sometimes.",Full co-op playthrough,
Raft,PC,Survival,9,7/1/2022,27082,TRUE,"Finished in 30 hours. Fun, but end game needs some balancing. Titanite is too rare to make end game things worth building.",Full co-op playthrough,Bronze
20 minutes till dawn,PC,Roguelike,7,6/12/2022,199748,TRUE,"Like vampire survivors, except it looks better. It's much more shallow though.",,
"Warhammer 40,000: Gladius",PC,Strategy,8,6/5/2022,76410,TRUE,Fun 40k game that seems to slow down too much as games move on.,,
Foundation,PC,Builder,8,5/23/2022,88392,NA,Really cool organic sort of builder. Got to 500 pop or so.,,
Chicory,PC,Adventure,7,5/12/2022,117266,FALSE,It's fun! Painting everything everywhere gets tiring after awhile. I wish I had a paintbucket tool.,,
Call of Juarez: Gunslinger,PC,Shooter,8,5/7/2022,1976,TRUE,Fun game with an interesting story telling style. A bit short.,,
Travelers Rest,PC,Builder,6,4/30/2022,121967,FALSE,"A fun tavern management game, but a bit grindy.",,
Elden Ring,PC,RPG,10,4/3/2022,119133,TRUE,"10/10 until the 3/4ths mark, and then things get annoying and bosses start getting repeated.",,Gold
Hellsplit: Arena,PC,Action,7,4/3/2022,117599,NA,It's fine! A neat looking arena fighter. I think I like it more than blade and sorcery.,,
Kingdoms Reborn,PC,Builder,7,4/3/2022,137805,FALSE,Pretty solid city builder.,,
Pilgrims,PC,Puzzle,7,3/5/2022,122766,TRUE,Short but pretty fun,,
Aperture Desk Job,PC,Other,6,3/5/2022,191897,TRUE,A good little steam deck demo.,,
Pavlov,PC,Shooter,8,2/7/2022,30548,NA,Really fun with good replayability.,,
Vampire Survivors,PC,Roguelike,8,2/7/2022,186725,TRUE,"Addicting, but could have a ton more content.",100% achievements,
Monster Hunter Rise,PC,RPG,7,2/7/2022,138950,NA,Its... monster hunter! I need to give it more time.,,
Zenith: The Last City,PC,MMO,6,2/7/2022,145452,NA,"Eh, good but janky. Would be better with a crew.",,
Mortal Online 2,PC,MMO,6,2/7/2022,127546,NA,"Good, but currently broken. Will have to update review later.",,
Kena: Bridge of Spirits,PC,Adventure,9,1/16/2022,134588,TRUE,"Great art style, good story, brutal difficulty occasionally.",,
Sludge Life,PC,Adventure,3,1/2/2022,131705,FALSE,Didn't give it much time because it seemed boring. The style didn't really grab me.,,
Happy Game,PC,Puzzle,8,12/29/2021,141681,TRUE,What in the world...,,
Forza Horizon 2,PC,Driving,7,12/16/2021,7326,,"It's fine! Fun open world, multiplayer is a little jank.",,
Psychonauts 2,PC,Platformer,9,12/1/2021,14741,TRUE,100% lives up to the first game.,,
Pathfinder Wrath of the Righteous,PC,RPG,8,11/5/2021,127254,FALSE,"Really good, but buggy as normal. Played a lot, but want to hold off until bugs are fixed.",Deep into act 2,
Ghost of Tsushima: Iki Island,PS4,Action,8,8/28/2021,154772,TRUE,"Good story, always can use more Tsushima. A little bit of a refresher on skills at the beginning would have been nice.",,
Psychonauts in the Rhombus of Ruin,PC,Puzzle,6,8/28/2021,15572,TRUE,Point and click inside of VR. A little short.,,
Police Stories,PC,Action,7,8/26/2021,28225,FALSE,Fun game for co-op. Way harder than I expected.,,
Black Book,PC,Card / Board Game,6,8/26/2021,121894,FALSE,Good game where you get to learn a lot about slavic lore. Never do like card battle systems much though.,,
Boyfriend Dungeon,PC,Dating,9,8/18/2021,74692,TRUE,Finished! Loved the story and the combat was pretty solid.,,
Duck Season,PC,Horror,7,8/18/2021,56873,TRUE,"Pretty fun! Definitely a lot of nostaglia, which was my favorite part.",,
Earth's Defense Force 5,PC,Shooter,8,8/2/2021,27283,TRUE,Really fun to play co-op!,,
Deaths Door,PC,Action,10,7/28/2021,145099,TRUE,"Love this game! Love the style, the story, it's awesome.",,Gold
Mini Motorways,PC,Puzzle,9,7/28/2021,122559,FALSE,Super good little game. I love it!,,
Norwood Suite,PC,Adventure,6,7/14/2021,122559,TRUE,"Slightly better than off-peak, because it has a bit of a story and mystery to it.",,
Off-Peak,PC,Adventure,5,7/14/2021,25849,TRUE,Has a cool style to it. Very short and confusing.,,
Metal Wolf Chaos XD,PC,Shooter,8,7/12/2021,103304,TRUE,Because... I am the president of this great united states of america.,,
Majotori,PC,Visual Novel,8,7/9/2021,22023,TRUE,This is a wonderfully creative trivia game. I love it.,,
911 Operator,PC,Strategy,7,7/1/2021,20927,FALSE,It's okay! It's fun managing things but it definitely gets reptitive.,,
Ostriv,PC,Builder,7,6/20/2021,24512,NA,"Good, but there are some traps you have to watch out for or you immediately lose.",,
Wildermyth,PC,RPG,7,6/19/2021,83504,FALSE,"Neat storytelling mechanics, though sometimes the stories make no sense.",,
Totem,PC,Puzzle,6,6/7/2021,134310,TRUE,Short but neat little indie game.,,
Operation Tango,PC,Puzzle,8,6/4/2021,134822,TRUE,Really fun game that is sort of like keep talking and nobody explodes.,,
Mass Effect Legendary Edition,PC,RPG,6,6/1/2021,140839,FALSE,"It's mass effect, a little let down by just how ""remastered"" these are...",,
Neverwinter Nights: Enhanced,PC,RPG,7,5/21/2021,23719,FALSE,It's neverwinter!,,
Offworld Trading Company,PC,Strategy,7,5/7/2021,10637,FALSE,Pretty fun! Sort of a boardgame feel to it.,,
Dungeons 3,PC,Builder,6,5/5/2021,27353,FALSE,"Like dungeon keeper, but more modern.",,
The Supper,PC,Adventure,6,4/16/2021,128289,TRUE,Its fine I guess!,,
Street Fighter V,PC,Fighting,8,4/15/2021,8258,TRUE,The story is something else...,,
It Takes Two,PC,Platformer,9,4/8/2021,135243,TRUE,Another great game by this dev!,Co-op playthrough,
Evil Genius 2: World Domination,PC,Builder,7,4/1/2021,44074,FALSE,"Good, but time gating research items is not a great idea.",,
Ragnarock,PC,Music,8,3/24/2021,139399,TRUE,"It's like beat saber, but with a cool theme. Better music in my opinion as well.","Played each song at least once, most on medium.",
Sea of Solitude,PC,Adventure,9,3/23/2021,26298,TRUE,Great visuals and a deep story to back it up.,,Bronze
Luck be a Landlord,PC,Other,7,3/22/2021,142035,FALSE,An interesting idea for those who like gambling.,,
Songs for a Hero,PC,Platformer,6,3/22/2021,222283,TRUE,Pretty good? The singing voice can get grating after a bit.,,
Bloons TD 6,PC,Strategy,7,3/21/2021,103380,FALSE,How can a tower defense game be so addicting?!,,
Warhammer: Vermintide 2,PC,Shooter,8,3/19/2021,55189,TRUE,It's vermintide again!,,
Total War: Warhammer 2,PC,Strategy,9,3/12/2021,28028,TRUE,Great game. I could spend hundreds of hours in this game.,"Multiple campaigns, co-op. 70+ hours",
Rhythm Doctor,PC,Music,8,3/12/2021,27907,FALSE,"This game is super cool. I really like it, but it is also crazy difficult. Because of that I can't really finish it.",About a dozen levels or so beaten.,
Valheim,PC,Builder,7,3/10/2021,104967,FALSE,"It's pretty good, but I dont like how it sort of forces you to abandon your base and build multiple new areas.",,
Ultima VII,PC,RPG,6,3/5/2021,9574,FALSE,Actually very impressed with the amount of side quests and such considering how old the game is... but the combat sucks.,,
Toejam and Earl,PC,Roguelike,4,2/25/2021,8389,FALSE,Pretty bad. Not sure why people loved it so much.,,
Nioh 2,PC,Action,9,2/20/2021,103330,TRUE,"Nioh, but better.",,
Wizardry 6,PC,RPG,6,2/20/2021,127994,FALSE,"Love the party building and part mechanics, but this game launched with only a single tileset for all zones and no music.",,
